Company,Date,Open,High,Low,Close,Adj Close,Volume
Facebook,5/19/2016,117.050003,117.489998,115.879997,116.809998,116.809998,20544100
Facebook,5/20/2016,116.959999,117.989998,116.949997,117.349998,117.349998,18944800
Facebook,5/23/2016,117.419998,117.599998,115.940002,115.970001,115.970001,20441000
Facebook,5/24/2016,116.239998,117.730003,116.120003,117.699997,117.699997,20183600
Facebook,5/25/2016,118.129997,118.669998,117.379997,117.889999,117.889999,20019800
Facebook,5/26/2016,118.239998,119.760002,117.919998,119.470001,119.470001,18481300
Facebook,5/27/2016,119.559998,119.849998,119.010002,119.379997,119.379997,13493600
Facebook,5/31/2016,119.459999,120.099998,118.120003,118.809998,118.809998,23547600
Facebook,6/1/2016,118.5,119.080002,117.82,118.779999,118.779999,15029500
Facebook,6/2/2016,118.690002,119.440002,118.220001,118.93,118.93,13228300
Facebook,6/3/2016,118.980003,118.980003,117.860001,118.470001,118.470001,14135100
Facebook,6/6/2016,118.620003,119.43,118.360001,118.790001,118.790001,12744700
Facebook,6/7/2016,119.239998,119.300003,117.669998,117.760002,117.760002,17103000
Facebook,6/8/2016,117.760002,118.599998,117.269997,118.389999,118.389999,14505600
Facebook,6/9/2016,118.129997,118.68,117.709999,118.559998,118.559998,13859200
Facebook,6/10/2016,117.540001,118.110001,116.260002,116.620003,116.620003,18510800
Facebook,6/13/2016,115,115.480003,113.309998,113.949997,113.949997,31718200
Facebook,6/14/2016,114.07,114.949997,113.580002,114.940002,114.940002,17618500
Facebook,6/15/2016,115.300003,115.440002,114.07,114.599998,114.599998,19819400
Facebook,6/16/2016,113.870003,114.5,112.940002,114.389999,114.389999,19236300
Facebook,6/17/2016,114.419998,114.43,112.559998,113.019997,113.019997,24644300
Facebook,6/20/2016,113.769997,114.720001,112.75,113.370003,113.370003,20785400
Facebook,6/21/2016,114.120003,115.209999,113.970001,114.379997,114.379997,19166300
Facebook,6/22/2016,114.650002,114.739998,113.610001,113.910004,113.910004,14846300
Facebook,6/23/2016,114.370003,115.089996,113.540001,115.080002,115.080002,16176900
Facebook,6/24/2016,111.010002,113.68,111,112.080002,112.080002,40643100
Facebook,6/27/2016,111.57,111.57,108.230003,108.970001,108.970001,36130400
Facebook,6/28/2016,110.629997,112.75,110.550003,112.699997,112.699997,26813800
Facebook,6/29/2016,113.370003,114.25,113.040001,114.160004,114.160004,20968300
Facebook,6/30/2016,114.669998,115.18,113.669998,114.279999,114.279999,23192700
Facebook,7/1/2016,114.199997,115.129997,113.809998,114.190002,114.190002,14980000
Facebook,7/5/2016,113.940002,114.199997,112.970001,114.199997,114.199997,14207000
Facebook,7/6/2016,113.360001,116.790001,112.970001,116.699997,116.699997,24337600
Facebook,7/7/2016,116.629997,116.970001,115.360001,115.849998,115.849998,16630200
Facebook,7/8/2016,116.43,117.5,115.849998,117.239998,117.239998,18142600
Facebook,7/11/2016,117.709999,118.699997,117.5,117.870003,117.870003,17711600
Facebook,7/12/2016,118.629997,118.720001,117.57,117.93,117.93,15217700
Facebook,7/13/2016,118.389999,118.400002,116.68,116.779999,116.779999,16207700
Facebook,7/14/2016,117.5,117.639999,116.699997,117.290001,117.290001,14579700
Facebook,7/15/2016,117.739998,118.279999,116.580002,116.860001,116.860001,16646000
Facebook,7/18/2016,117.32,119.610001,116.889999,119.370003,119.370003,20868400
Facebook,7/19/2016,118.989998,120.849998,118.660004,120.610001,120.610001,21541300
Facebook,7/20/2016,121.25,122.199997,120.559998,121.919998,121.919998,20046500
Facebook,7/21/2016,121.919998,122.099998,120.25,120.610001,120.610001,17801700
Facebook,7/22/2016,119.900002,121.010002,119.309998,121,121,18422400
Facebook,7/25/2016,121.389999,121.849998,117.779999,121.629997,121.629997,18487400
Facebook,7/26/2016,122,122.07,120.75,121.220001,121.220001,17612000
Facebook,7/27/2016,122.419998,125,121.510002,123.339996,123.339996,52654200
Facebook,7/28/2016,127.519997,128.330002,123.629997,125,125,78955800
Facebook,7/29/2016,124.650002,125.839996,123.709999,123.940002,123.940002,35058800
Facebook,8/1/2016,123.849998,124.580002,122.860001,124.309998,124.309998,25006900
Facebook,8/2/2016,124.059998,124.800003,122.07,123.089996,123.089996,23968400
Facebook,8/3/2016,123.089996,123.919998,122.309998,122.510002,122.510002,18525300
Facebook,8/4/2016,122.940002,124.790001,122.510002,124.360001,124.360001,21066000
Facebook,8/5/2016,124.980003,125.839996,124.620003,125.150002,125.150002,20184000
Facebook,8/8/2016,125.25,125.449997,124.550003,125.260002,125.260002,15233900
Facebook,8/9/2016,125.339996,126.089996,124.529999,125.059998,125.059998,19621000
Facebook,8/10/2016,125.07,125.480003,124.540001,124.879997,124.879997,10670100
Facebook,8/11/2016,125.199997,125.379997,124.75,124.900002,124.900002,11729500
Facebook,8/12/2016,124.699997,125,124.18,124.879997,124.879997,12159000
Facebook,8/15/2016,124.910004,124.919998,123.699997,123.900002,123.900002,19295100
Facebook,8/16/2016,123.5,123.919998,122.779999,123.300003,123.300003,14222400
Facebook,8/17/2016,123.660004,124.379997,122.849998,124.370003,124.370003,13794200
Facebook,8/18/2016,124.010002,124.260002,123.639999,123.910004,123.910004,12400800
Facebook,8/19/2016,123.599998,124.160004,123.279999,123.559998,123.559998,11688300
Facebook,8/22/2016,123.330002,124.830002,123.110001,124.150002,124.150002,14386400
Facebook,8/23/2016,124.510002,125.089996,124.25,124.370003,124.370003,13309500
Facebook,8/24/2016,124.470001,124.690002,123.089996,123.480003,123.480003,12243700
Facebook,8/25/2016,123.120003,124.370003,123.099998,123.889999,123.889999,10730800
Facebook,8/26/2016,124.050003,125.190002,123.910004,124.959999,124.959999,17504800
Facebook,8/29/2016,124.349998,126.730003,124.349998,126.540001,126.540001,15925900
Facebook,8/30/2016,126.599998,126.599998,125.150002,125.839996,125.839996,17804300
Facebook,8/31/2016,125.599998,126.220001,125.099998,126.120003,126.120003,14200600
Facebook,9/1/2016,126.379997,126.629997,125.599998,126.169998,126.169998,13536100
Facebook,9/2/2016,126.849998,126.860001,126,126.510002,126.510002,12118800
Facebook,9/6/2016,126.669998,129.940002,126.470001,129.729996,129.729996,26278400
Facebook,9/7/2016,130.039993,131.979996,129.949997,131.050003,131.050003,27990800
Facebook,9/8/2016,130.919998,131.080002,129.809998,130.270004,130.270004,15676600
Facebook,9/9/2016,129.710007,129.949997,127.099998,127.099998,127.099998,27100700
Facebook,9/12/2016,125.959999,128.759995,125.75,128.690002,128.690002,21252800
Facebook,9/13/2016,128.029999,128.350006,126.660004,127.209999,127.209999,18016200
Facebook,9/14/2016,126.889999,128.800003,126.889999,127.769997,127.769997,15691100
Facebook,9/15/2016,127.980003,129.100006,127.669998,128.350006,128.350006,15077200
Facebook,9/16/2016,128.199997,129.179993,128.199997,129.070007,129.070007,24119200
Facebook,9/19/2016,129.910004,129.940002,128.259995,128.649994,128.649994,14958800
Facebook,9/20/2016,128.649994,129.169998,128.029999,128.639999,128.639999,11083800
Facebook,9/21/2016,129.130005,130.009995,128.389999,129.940002,129.940002,14068300
Facebook,9/22/2016,130.5,130.729996,129.559998,130.080002,130.080002,15538300
Facebook,9/23/2016,127.559998,128.600006,127.300003,127.959999,127.959999,28326300
Facebook,9/26/2016,127.370003,128.160004,126.800003,127.309998,127.309998,15064900
Facebook,9/27/2016,127.610001,129.009995,127.43,128.690002,128.690002,15637100
Facebook,9/28/2016,129.210007,129.470001,128.399994,129.229996,129.229996,12047600
Facebook,9/29/2016,129.179993,129.289993,127.550003,128.089996,128.089996,14532200
Facebook,9/30/2016,128.029999,128.589996,127.449997,128.270004,128.270004,18402900
Facebook,10/3/2016,128.380005,129.089996,127.800003,128.770004,128.770004,13156900
Facebook,10/4/2016,129.169998,129.279999,127.550003,128.190002,128.190002,14307500
Facebook,10/5/2016,128.25,128.800003,127.830002,128.470001,128.470001,12386800
Facebook,10/6/2016,128.429993,129.059998,128.080002,128.740005,128.740005,11682700
Facebook,10/7/2016,129.039993,129.25,128.330002,128.990005,128.990005,12804400
Facebook,10/10/2016,129.679993,130.699997,129.199997,130.240005,130.240005,15138700
Facebook,10/11/2016,130.229996,130.639999,128.229996,128.880005,128.880005,17537900
Facebook,10/12/2016,129.009995,129.660004,128.460007,129.050003,129.050003,11073000
Facebook,10/13/2016,128.210007,128.25,126.75,127.82,127.82,17139300
Facebook,10/14/2016,128.490005,128.949997,127.580002,127.879997,127.879997,13345300
Facebook,10/17/2016,128.199997,128.470001,127.32,127.540001,127.540001,11351700
Facebook,10/18/2016,128.679993,129.389999,128.009995,128.570007,128.570007,13504000
Facebook,10/19/2016,128.740005,130.470001,128.600006,130.110001,130.110001,16752300
Facebook,10/20/2016,130.070007,130.660004,129.5,130,130,13167500
Facebook,10/21/2016,129.779999,132.130005,129.699997,132.070007,132.070007,19088800
Facebook,10/24/2016,132.720001,133.410004,132.149994,133.279999,133.279999,17470200
Facebook,10/25/2016,133.5,133.5,132.220001,132.289993,132.289993,13336800
Facebook,10/26/2016,131.639999,132.259995,130.940002,131.039993,131.039993,13084700
Facebook,10/27/2016,131.740005,131.800003,129.270004,129.690002,129.690002,16741400
Facebook,10/28/2016,130.5,132.970001,129.929993,131.289993,131.289993,24545500
Facebook,10/31/2016,132.009995,132.119995,130.880005,130.990005,130.990005,15669000
Facebook,11/1/2016,131.410004,131.940002,128.649994,129.5,129.5,22077800
Facebook,11/2/2016,130.229996,130.229996,126.279999,127.169998,127.169998,39640900
Facebook,11/3/2016,122,123.279999,119.5,120,120,63766300
Facebook,11/4/2016,119.589996,121.93,119.25,120.75,120.75,30545500
Facebook,11/7/2016,122.830002,123.209999,121.349998,122.150002,122.150002,23008900
Facebook,11/8/2016,122.029999,124.610001,121.540001,124.220001,124.220001,19460800
Facebook,11/9/2016,121.5,123.809998,120.510002,123.18,123.18,31916000
Facebook,11/10/2016,123.93,124.18,115.269997,120.800003,120.800003,67846700
Facebook,11/11/2016,119.529999,120.699997,118.150002,119.019997,119.019997,32840100
Facebook,11/14/2016,119.129997,119.129997,113.550003,115.080002,115.080002,51377000
Facebook,11/15/2016,116.730003,118.489998,115.830002,117.199997,117.199997,34681400
Facebook,11/16/2016,114.480003,117.879997,114.209999,116.339996,116.339996,32397900
Facebook,11/17/2016,116.809998,117.790001,116.010002,117.790001,117.790001,18597800
Facebook,11/18/2016,118.389999,119.129997,116.839996,117.019997,117.019997,22879300
Facebook,11/21/2016,118.199997,121.949997,117.800003,121.769997,121.769997,35415400
Facebook,11/22/2016,122.400002,122.980003,120.900002,121.470001,121.470001,26089200
Facebook,11/23/2016,121.230003,121.309998,119.940002,120.839996,120.839996,15672100
Facebook,11/25/2016,121.010002,121.139999,120.07,120.379997,120.379997,8658600
Facebook,11/28/2016,120.120003,121.690002,119.82,120.410004,120.410004,18101300
Facebook,11/29/2016,120.57,122.099998,120.400002,120.870003,120.870003,18891000
Facebook,11/30/2016,120.32,121.790001,117.949997,118.419998,118.419998,30188900
Facebook,12/1/2016,118.379997,118.449997,114,115.099998,115.099998,43277000
Facebook,12/2/2016,115.110001,116.480003,114.300003,115.400002,115.400002,25070400
Facebook,12/5/2016,115.949997,117.57,115.07,117.43,117.43,20201500
Facebook,12/6/2016,117.690002,117.800003,116.330002,117.309998,117.309998,19131200
Facebook,12/7/2016,117,117.949997,116.57,117.949997,117.949997,21913700
Facebook,12/8/2016,117.980003,119.5,117.639999,118.910004,118.910004,22442800
Facebook,12/9/2016,119.220001,119.940002,118.949997,119.68,119.68,17464700
Facebook,12/12/2016,119.220001,119.239998,117.650002,117.769997,117.769997,17805500
Facebook,12/13/2016,117.860001,121.519997,117.610001,120.309998,120.309998,29768000
Facebook,12/14/2016,120,121.690002,118.849998,120.209999,120.209999,25913100
Facebook,12/15/2016,120.080002,122.5,119.629997,120.57,120.57,20139600
Facebook,12/16/2016,120.900002,121.5,119.269997,119.870003,119.870003,25324300
Facebook,12/19/2016,119.849998,120.360001,118.510002,119.239998,119.239998,15918100
Facebook,12/20/2016,119.5,119.769997,118.800003,119.089996,119.089996,13684400
Facebook,12/21/2016,118.919998,119.199997,118.480003,119.040001,119.040001,10767600
Facebook,12/22/2016,118.860001,118.989998,116.93,117.400002,117.400002,16258600
Facebook,12/23/2016,117,117.559998,116.300003,117.269997,117.269997,10890000
Facebook,12/27/2016,116.959999,118.68,116.860001,118.010002,118.010002,12051500
Facebook,12/28/2016,118.190002,118.25,116.650002,116.919998,116.919998,12087400
Facebook,12/29/2016,117,117.529999,116.059998,116.349998,116.349998,9934900
Facebook,12/30/2016,116.599998,116.830002,114.769997,115.050003,115.050003,18684100
Facebook,1/3/2017,116.029999,117.839996,115.510002,116.860001,116.860001,20663900
Facebook,1/4/2017,117.550003,119.660004,117.290001,118.690002,118.690002,19630900
Facebook,1/5/2017,118.860001,120.949997,118.32,120.669998,120.669998,19492200
Facebook,1/6/2017,120.980003,123.879997,120.029999,123.410004,123.410004,28545300
Facebook,1/9/2017,123.550003,125.43,123.040001,124.900002,124.900002,22880400
Facebook,1/10/2017,124.82,125.5,124.279999,124.349998,124.349998,17324600
Facebook,1/11/2017,124.349998,126.120003,124.059998,126.089996,126.089996,18356500
Facebook,1/12/2017,125.610001,126.730003,124.800003,126.620003,126.620003,18653900
Facebook,1/13/2017,127.489998,129.270004,127.370003,128.339996,128.339996,24884300
Facebook,1/17/2017,128.039993,128.339996,127.400002,127.870003,127.870003,15294500
Facebook,1/18/2017,128.410004,128.429993,126.839996,127.919998,127.919998,13145900
Facebook,1/19/2017,128.229996,128.350006,127.449997,127.550003,127.550003,12195500
Facebook,1/20/2017,128.100006,128.479996,126.779999,127.040001,127.040001,19097200
Facebook,1/23/2017,127.309998,129.25,126.949997,128.929993,128.929993,16593600
Facebook,1/24/2017,129.380005,129.899994,128.380005,129.369995,129.369995,15162700
Facebook,1/25/2017,130,131.740005,129.770004,131.479996,131.479996,18731300
Facebook,1/26/2017,131.630005,133.139999,131.440002,132.779999,132.779999,20020100
Facebook,1/27/2017,132.679993,132.949997,131.080002,132.179993,132.179993,19539500
Facebook,1/30/2017,131.580002,131.580002,129.600006,130.979996,130.979996,18956100
Facebook,1/31/2017,130.169998,130.660004,129.520004,130.320007,130.320007,19790500
Facebook,2/1/2017,132.25,133.490005,130.679993,133.229996,133.229996,50139800
Facebook,2/2/2017,133.220001,135.490005,130.399994,130.839996,130.839996,54366400
Facebook,2/3/2017,131.240005,132.850006,130.759995,130.979996,130.979996,24804900
Facebook,2/6/2017,130.979996,132.059998,130.300003,132.059998,132.059998,17058500
Facebook,2/7/2017,132.240005,133,131.660004,131.839996,131.839996,14596400
Facebook,2/8/2017,132.600006,134.440002,132.440002,134.199997,134.199997,22390600
Facebook,2/9/2017,134.490005,134.5,133.309998,134.139999,134.139999,16470600
Facebook,2/10/2017,134.100006,134.940002,133.679993,134.190002,134.190002,15061900
Facebook,2/13/2017,134.699997,134.699997,133.699997,134.050003,134.050003,13526200
Facebook,2/14/2017,134.100006,134.229996,132.550003,133.850006,133.850006,14364900
Facebook,2/15/2017,133.449997,133.699997,132.660004,133.440002,133.440002,13226500
Facebook,2/16/2017,133.070007,133.869995,133.020004,133.839996,133.839996,12831100
Facebook,2/17/2017,133.5,134.089996,133.169998,133.529999,133.529999,12276500
Facebook,2/21/2017,133.5,133.910004,132.899994,133.720001,133.720001,14759100
Facebook,2/22/2017,133.600006,136.789993,133.460007,136.119995,136.119995,27360100
Facebook,2/23/2017,135.889999,136.119995,134.330002,135.360001,135.360001,18422500
Facebook,2/24/2017,134.160004,135.619995,134.160004,135.440002,135.440002,12625700
Facebook,2/27/2017,135.259995,137.179993,135.020004,136.410004,136.410004,14306700
Facebook,2/28/2017,136.789993,136.809998,134.75,135.539993,135.539993,16112100
Facebook,3/1/2017,136.470001,137.479996,136.300003,137.419998,137.419998,16257000
Facebook,3/2/2017,137.089996,137.820007,136.309998,136.759995,136.759995,12294800
Facebook,3/3/2017,136.630005,137.330002,136.080002,137.169998,137.169998,11160600
Facebook,3/6/2017,136.880005,137.830002,136.509995,137.419998,137.419998,12748200
Facebook,3/7/2017,137.029999,138.369995,136.990005,137.300003,137.300003,13527100
Facebook,3/8/2017,137.149994,137.990005,137.050003,137.720001,137.720001,10184500
Facebook,3/9/2017,137.720001,138.570007,137.399994,138.240005,138.240005,15535300
Facebook,3/10/2017,138.910004,139.490005,138.220001,138.789993,138.789993,16314100
Facebook,3/13/2017,138.710007,139.679993,138.669998,139.600006,139.600006,10955500
Facebook,3/14/2017,139.460007,139.460007,138.520004,139.320007,139.320007,12944000
Facebook,3/15/2017,139.289993,140.100006,138.490005,139.720001,139.720001,19344800
Facebook,3/16/2017,140.199997,140.25,139.729996,139.990005,139.990005,13612900
Facebook,3/17/2017,140.339996,140.339996,139.699997,139.839996,139.839996,20592800
Facebook,3/20/2017,139.710007,140.190002,139.25,139.940002,139.940002,12099500
Facebook,3/21/2017,141.149994,142.309998,138.399994,138.509995,138.509995,29894800
Facebook,3/22/2017,137.929993,139.789993,137.600006,139.589996,139.589996,17055400
Facebook,3/23/2017,139.479996,140.389999,139.089996,139.529999,139.529999,13022800
Facebook,3/24/2017,140.080002,141.020004,139.759995,140.339996,140.339996,16664700
Facebook,3/27/2017,139.050003,140.649994,138.770004,140.320007,140.320007,12800500
Facebook,3/28/2017,140.360001,141.949997,140.009995,141.759995,141.759995,14679400
Facebook,3/29/2017,141.990005,142.860001,141.429993,142.649994,142.649994,16527600
Facebook,3/30/2017,142.399994,142.949997,141.850006,142.410004,142.410004,12404000
Facebook,3/31/2017,142.309998,142.630005,141.889999,142.050003,142.050003,11478300
Facebook,4/3/2017,141.929993,142.470001,140.820007,142.279999,142.279999,13564000
Facebook,4/4/2017,141.860001,142.089996,141.270004,141.729996,141.729996,12948600
Facebook,4/5/2017,142.259995,143.440002,141.289993,141.850006,141.850006,17158100
Facebook,4/6/2017,142.110001,142.220001,140.910004,141.169998,141.169998,15103400
Facebook,4/7/2017,141.199997,141.550003,140.240005,140.779999,140.779999,11818300
Facebook,4/10/2017,141,141.429993,140.630005,141.039993,141.039993,9039400
Facebook,4/11/2017,140.800003,141.029999,138.809998,139.919998,139.919998,16638100
Facebook,4/12/2017,139.720001,140.399994,139.440002,139.580002,139.580002,11612500
Facebook,4/13/2017,139.619995,140.580002,139.330002,139.389999,139.389999,10965600
Facebook,4/17/2017,139.759995,141.550003,139.75,141.419998,141.419998,11519700
Facebook,4/18/2017,141.270004,141.910004,140.610001,140.960007,140.960007,14807500
Facebook,4/19/2017,141.350006,143.039993,141.270004,142.270004,142.270004,15563900
Facebook,4/20/2017,142.949997,144.25,142.690002,143.800003,143.800003,15968200
Facebook,4/21/2017,143.899994,144.169998,142.270004,143.679993,143.679993,12382000
Facebook,4/24/2017,144.960007,145.669998,144.339996,145.470001,145.470001,14407200
Facebook,4/25/2017,145.789993,147.149994,145.789993,146.490005,146.490005,17767500
Facebook,4/26/2017,147.089996,147.589996,146.089996,146.559998,146.559998,12395000
Facebook,4/27/2017,146.669998,147.75,146.139999,147.699997,147.699997,11275100
Facebook,4/28/2017,149.5,151.529999,149.070007,150.25,150.25,30652200
Facebook,5/1/2017,151.740005,152.570007,151.419998,152.460007,152.460007,25218300
Facebook,5/2/2017,153.339996,153.440002,151.660004,152.779999,152.779999,21870400
Facebook,5/3/2017,153.600006,153.600006,151.339996,151.800003,151.800003,29782500
Facebook,5/4/2017,150.169998,151.520004,148.720001,150.850006,150.850006,36225500
Facebook,5/5/2017,151.449997,151.630005,149.789993,150.240005,150.240005,17148500
Facebook,5/8/2017,150.710007,151.080002,149.740005,151.059998,151.059998,15827500
Facebook,5/9/2017,151.490005,152.589996,150.210007,150.479996,150.479996,17453900
Facebook,5/10/2017,150.229996,150.520004,148.860001,150.289993,150.289993,12080700
Facebook,5/11/2017,150.309998,150.649994,149.410004,150.039993,150.039993,11841900
Facebook,5/12/2017,150.399994,150.460007,149.630005,150.330002,150.330002,9598200
Facebook,5/15/2017,150.169998,151.479996,149.770004,150.190002,150.190002,15064700
Facebook,5/16/2017,150.110001,150.210007,149.029999,149.779999,149.779999,14550800
Facebook,5/17/2017,148,148.669998,144.419998,144.850006,144.850006,28300100
Facebook,5/18/2017,144.720001,148.149994,144.509995,147.660004,147.660004,23031600
Facebook,5/19/2017,148.449997,149.389999,147.960007,148.059998,148.059998,16187900
Facebook,5/22/2017,148.080002,148.589996,147.690002,148.240005,148.240005,12586700
Facebook,5/23/2017,148.520004,148.809998,147.25,148.070007,148.070007,12817800
Facebook,5/24/2017,148.509995,150.229996,148.419998,150.039993,150.039993,17862400
Facebook,5/25/2017,150.300003,152.589996,149.949997,151.960007,151.960007,19891400
Facebook,5/26/2017,152.229996,152.25,151.149994,152.130005,152.130005,14996200
Facebook,5/30/2017,151.970001,152.899994,151.639999,152.380005,152.380005,13226000
Facebook,5/31/2017,152.699997,153.350006,151.089996,151.460007,151.460007,18023900
Facebook,6/1/2017,151.75,152.289993,150.300003,151.529999,151.529999,14530600
Facebook,6/2/2017,151.850006,153.630005,151.300003,153.610001,153.610001,16854400
Facebook,6/5/2017,153.639999,154.710007,153.410004,153.630005,153.630005,12520400
Facebook,6/6/2017,153.410004,154.520004,152.479996,152.809998,152.809998,13457100
Facebook,6/7/2017,153.270004,153.75,152.339996,153.119995,153.119995,12066700
Facebook,6/8/2017,154.080002,154.729996,153.100006,154.710007,154.710007,17799400
Facebook,6/9/2017,154.770004,155.589996,146.610001,149.600006,149.600006,35577700
Facebook,6/12/2017,148.169998,149.199997,144.559998,148.440002,148.440002,33170200
Facebook,6/13/2017,150.149994,151.179993,148.899994,150.679993,150.679993,20483400
Facebook,6/14/2017,151.259995,152.399994,149.050003,150.25,150.25,20808800
Facebook,6/15/2017,147.669998,150.039993,146.369995,149.800003,149.800003,18994200
Facebook,6/16/2017,149.589996,150.830002,148.600006,150.639999,150.639999,22882400
Facebook,6/19/2017,151.710007,153.570007,151.710007,152.869995,152.869995,19026500
Facebook,6/20/2017,152.880005,153.839996,152.210007,152.25,152.25,14743900
Facebook,6/21/2017,152.360001,154.080002,151.880005,153.910004,153.910004,15039800
Facebook,6/22/2017,153.009995,154.550003,152.910004,153.399994,153.399994,13005500
Facebook,6/23/2017,152.720001,155.199997,152.649994,155.070007,155.070007,18027000
Facebook,6/26/2017,156.25,156.5,153.199997,153.589996,153.589996,18049700
Facebook,6/27/2017,152.839996,153.309998,150.389999,150.580002,150.580002,19360800
Facebook,6/28/2017,150.919998,153.470001,149.860001,153.240005,153.240005,16719100
Facebook,6/29/2017,152.279999,152.5,148.919998,151.039993,151.039993,23973500
Facebook,6/30/2017,151.899994,151.919998,150.059998,150.979996,150.979996,17666000
Facebook,7/3/2017,151.720001,152.149994,147.800003,148.429993,148.429993,13862700
Facebook,7/5/2017,149,150.850006,148.130005,150.339996,150.339996,14334300
Facebook,7/6/2017,149.029999,150.039993,148,148.820007,148.820007,14951800
Facebook,7/7/2017,149.25,151.990005,149.190002,151.440002,151.440002,13615900
Facebook,7/10/2017,151.690002,153.979996,151.509995,153.5,153.5,13378700
Facebook,7/11/2017,153.369995,155.419998,152.910004,155.270004,155.270004,13667700
Facebook,7/12/2017,156.490005,159.160004,156.199997,158.899994,158.899994,22739400
Facebook,7/13/2017,158.740005,159.779999,158.419998,159.259995,159.259995,13929200
Facebook,7/14/2017,160.130005,160.320007,159.330002,159.970001,159.970001,16371200
Facebook,7/17/2017,160.25,160.779999,158.809998,159.729996,159.729996,12858800
Facebook,7/18/2017,159.660004,163.729996,159.419998,162.860001,162.860001,23722900
Facebook,7/19/2017,163.589996,165.699997,163.169998,164.139999,164.139999,26273600
Facebook,7/20/2017,164.800003,165,162.809998,164.529999,164.529999,18523100
Facebook,7/21/2017,164.160004,165.050003,163.75,164.429993,164.429993,14744000
Facebook,7/24/2017,164.639999,166.169998,164.309998,166,166,17367000
Facebook,7/25/2017,165.009995,165.539993,163.860001,165.279999,165.279999,15383200
Facebook,7/26/2017,166.009995,166.009995,164.100006,165.610001,165.610001,35236900
Facebook,7/27/2017,174.699997,175.490005,167.5,170.440002,170.440002,68910700
Facebook,7/28/2017,169.070007,173.429993,169.050003,172.449997,172.449997,24557600
Facebook,7/31/2017,172,172.720001,168.550003,169.25,169.25,25478900
Facebook,8/1/2017,169.820007,170.470001,169.050003,169.860001,169.860001,14385000
Facebook,8/2/2017,170.300003,170.550003,166.910004,169.300003,169.300003,17433800
Facebook,8/3/2017,169.300003,169.699997,168.25,168.589996,168.589996,10793800
Facebook,8/4/2017,168.970001,170.059998,168.690002,169.619995,169.619995,10777700
Facebook,8/7/2017,169.949997,172.059998,169.660004,171.979996,171.979996,12787800
Facebook,8/8/2017,171.880005,173.050003,170.619995,171.229996,171.229996,14393500
Facebook,8/9/2017,169.979996,171.449997,169.559998,171.179993,171.179993,10815000
Facebook,8/10/2017,170.059998,170.589996,166.850006,167.399994,167.399994,20832700
Facebook,8/11/2017,167.949997,168.820007,166.850006,168.080002,168.080002,13791200
Facebook,8/14/2017,170.089996,171.080002,169.289993,170.75,170.75,12954200
Facebook,8/15/2017,171.490005,171.5,170.009995,171,171,8729200
Facebook,8/16/2017,171.25,171.380005,169.240005,170,170,15779900
Facebook,8/17/2017,169.339996,169.860001,166.850006,166.910004,166.910004,17216000
Facebook,8/18/2017,166.839996,168.669998,166.210007,167.410004,167.410004,15093600
Facebook,8/21/2017,167.160004,168,165.820007,167.779999,167.779999,11907500
Facebook,8/22/2017,168.279999,169.869995,167.149994,169.639999,169.639999,11391000
Facebook,8/23/2017,168.839996,169.360001,168.199997,168.710007,168.710007,9856500
Facebook,8/24/2017,168.880005,169.289993,166.410004,167.740005,167.740005,14030400
Facebook,8/25/2017,167.860001,168.380005,166.179993,166.320007,166.320007,12614500
Facebook,8/28/2017,166.910004,167.699997,166.330002,167.240005,167.240005,8553700
Facebook,8/29/2017,165.25,168.429993,165,168.050003,168.050003,11121000
Facebook,8/30/2017,168.169998,170.179993,167.630005,169.919998,169.919998,11138300
Facebook,8/31/2017,170.399994,172.149994,170.059998,171.970001,171.970001,17226500
Facebook,9/1/2017,172.399994,172.919998,171.309998,172.020004,172.020004,11677600
Facebook,9/5/2017,171.270004,172.389999,169.550003,170.720001,170.720001,13210900
Facebook,9/6/2017,170.910004,172.479996,169.570007,172.089996,172.089996,13906300
Facebook,9/7/2017,171.940002,173.309998,170.270004,173.210007,173.210007,18049500
Facebook,9/8/2017,173.089996,173.490005,170.800003,170.949997,170.949997,10998500
Facebook,9/11/2017,172.399994,173.889999,172.199997,173.509995,173.509995,12372000
Facebook,9/12/2017,173.759995,174,171.75,172.960007,172.960007,11186300
Facebook,9/13/2017,173.009995,173.169998,172.059998,173.050003,173.050003,9119300
Facebook,9/14/2017,172.259995,172.279999,170.5,170.960007,170.960007,15615700
Facebook,9/15/2017,170.880005,172.339996,170.259995,171.639999,171.639999,15660500
Facebook,9/18/2017,171.990005,172.070007,169.339996,170.009995,170.009995,12954000
Facebook,9/19/2017,170.619995,172.559998,170.360001,172.520004,172.520004,13168600
Facebook,9/20/2017,172.5,173.050003,170.699997,172.169998,172.169998,12264100
Facebook,9/21/2017,171.690002,172.270004,170.009995,171.110001,171.110001,11161400
Facebook,9/22/2017,170.210007,171.729996,169.220001,170.539993,170.539993,12097100
Facebook,9/25/2017,169.240005,169.300003,161.559998,162.869995,162.869995,41251600
Facebook,9/26/2017,164.5,165.5,162.779999,164.210007,164.210007,23363300
Facebook,9/27/2017,165.899994,168.339996,165.570007,167.679993,167.679993,19242500
Facebook,9/28/2017,167.940002,169.070007,167.160004,168.729996,168.729996,12178700
Facebook,9/29/2017,168.830002,171.660004,168.809998,170.869995,170.869995,15340400
Facebook,10/2/2017,171.389999,171.869995,168.75,169.470001,169.470001,13392300
